Symbol,Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (),Beta,R2,Volatility_Per,Monthly Return,Avg_Impact_Cost_percent,report_date
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,7700,0.6,0.88,0.52,2.09,8.29,0.09,2009-08-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,9042,0.48,0.89,0.53,2.36,16.2,0.09,2009-03-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,10281,0.57,0.89,0.55,2.99,6.91,0.13,2009-01-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,7110,0.56,0.87,0.5,2.99,-9.99,0.11,2009-07-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,8717.82,0.19,0.86,0.24,5.42,0.52,0.07,2010-05-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,7961,0.57,0.89,0.5,1.51,3.39,0.08,2009-09-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,7810,0.59,0.82,0.44,1.65,-1.9,0.09,2009-10-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,10320,0.47,0.88,0.52,3.57,14.13,0.14,2009-04-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,7521,0.51,0.78,0.38,1.89,-3.7,0.09,2009-11-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,8757.4,0.57,0.77,0.19,0.02,0.56,0.06,2010-06-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,7781,0.45,0.91,0.55,2.81,-24.31,0.11,2009-02-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,7900,0.68,0.87,0.49,3.15,19.58,0.13,2009-06-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,8064,0.56,0.78,0.37,0.97,-2.02,0.09,2010-02-01
ABB,ABB Ltd.,Electrical Equipment,423816750,9616,0.52,0.9,0.59,2.62,3.57,0.12,2008-12-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,8041.91,0.53,0.81,0.4,1.41,-4.53,0.07,2010-04-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,7785,0.51,0.78,0.37,0.95,3.52,0.07,2009-12-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,13794,0.49,0.86,0.5,4.96,33.67,0.14,2009-05-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,8231,0.55,0.81,0.37,2.47,5.72,0.07,2010-01-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,8424,0.55,0.81,0.38,1.56,4.46,0.06,2010-03-01
ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,423816750,4129,0.26,0.59,0.09,1.19,-0.18,0.08,2010-08-01
ABB,Electrical Equipment,,"423,816,750",16344,0.62,0.82,0.48,3.84,-4.02,0.12,2008-07-01
ABB,Electrical Equipment,,"423,816,750",23732,0.8,0.86,0.48,3.14,-25.94,0.15,2008-01-01
ABB,Electrical Equipment,,"423,816,750",25004,0.88,0.83,0.48,3.41,2.13,0.11,2008-03-01
ABB,Electrical Equipment,,"423,816,750",18562,0.7,0.79,0.45,1.87,13.57,0.08,2008-08-01
ABB,Electrical Equipment,,"423,816,750",9285,0.54,0.89,0.58,4.33,-19.47,0.16,2008-11-01
ABB,Electrical Equipment,,"423,816,750",24179,0.78,0.83,0.45,2.28,-3.3,0.09,2008-04-01
ABB,Electrical Equipment,,"423,816,750",16730,0.7,0.8,0.48,2.42,-9.87,0.11,2008-09-01
ABB,Electrical Equipment,,"423,816,750",11530,0.65,0.89,0.56,6.22,-31.08,0.23,2008-10-01
ABB,Electrical Equipment,,"423,816,750",24482,0.81,0.83,0.45,2.8,3.16,0.14,2008-02-01
ABB,Electrical Equipment,,"423,816,750",17029,0.7,0.83,0.48,2.39,-21.49,0.1,2008-06-01
ABB,Electrical Equipment,,"423,816,750",21691,0.74,0.83,0.45,1.44,-10.29,0.09,2008-05-01
